name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Bonzo Finance,,https://bonzo.finance/,,,,,,graduated,,Other,,"Bonzo Finance is an open source, non-custodial lending & borrowing protocol on Hedera.",,,,,,,,,,,,Defi,Borrowing / Lending,true,https://github.com/Bonzo-Labs/bonzo-finance-contracts,1,Repo where Bonzo Smart Contracts go,2024-12-12,https://github.com/Bonzo-Labs/bonzo-finance-contracts/commit/541d52252ac55453fa3fab47c1fac16384e78078,,,2020-05-29,https://github.com/Bonzo-Labs/bonzo-finance-contracts/commit/0ca8e30fb2ed3cb7f3508ab83b44f48bab8f02c9,34,https://github.com/Bonzo-Labs/bonzo-finance-contracts/graphs/contributors,,,,,,,,,,,,
Dovu,,https://dovu.earth/en/dovuos/,logos/3d49dc4bda0b916bf395e58daa15f10e52decf0d48c7f39808dd917a120c6144.svg,,,,,graduated,,MIT License,,Configuration based Guardian policy consumption and management for dovu platform.,,,,,,,,,,,,Sustainability,Carbon Offsets,true,https://github.com/dovuofficial/guardian-php-sdk,0,Configuration based Guardian policy consumption and management for dovu platform,2025-02-26,https://github.com/dovuofficial/guardian-php-sdk/commit/d75cb7803114625e5735a958834c95e5cda8e5fa,2025-02-26,https://github.com/dovuofficial/guardian-php-sdk/releases/tag/v3.0.11,2022-07-15,https://github.com/dovuofficial/guardian-php-sdk/commit/9bfb531eec52f1018e30f3675d7d576d07131f87,2,https://github.com/dovuofficial/guardian-php-sdk/graphs/contributors,,,,,,,,,,,,
Envision Blockchain,,https://guardianservice.app/login,,,,,,graduated,,Apache License 2.0,,"The Guardian is an innovative open-source platform that streamlines the creation, management, and verification of digital environmental assets. It leverages a customizable Policy Workflow Engine and Web3 technology to ensure transparent and fraud-proof operations, making  it a key tool for transforming sustainability practices and carbon markets.",,,,,,,,,,,,Sustainability,Infrastructure,true,https://github.com/hashgraph/guardian,122,"The Guardian is an innovative open-source platform that streamlines the creation, management, and verification of digital environmental assets. It leverages a customizable Policy Workflow Engine and Web3 technology to ensure transparent and fraud-proof operations, making it a key tool for transforming sustainability practices and carbon markets.",2025-06-23,https://github.com/hashgraph/guardian/commit/a601756a04a90cc2eec7ad4e8c4afe44ebdf241b,2025-05-19,https://github.com/hashgraph/guardian/releases/tag/v3.2.0,2021-10-11,https://github.com/hashgraph/guardian/commit/95dd9ce1dd46d27c3b178327bd817533601f148b,69,https://github.com/hashgraph/guardian/graphs/contributors,,,,,,,,,,,,
Hgraph,,https://hgraph.com/,logos/a2cdd0c4ff3e1d47a927b0f2a05bb5c358ddbfdd70d075be57d4dad64fa0ddf8.svg,,,,,graduated,,,,"Custom solutions for startups, enterprise and government. ",,,,,,,,,,,,Decentralized Infrastructure,Infrastructure,,https://github.com/hgraph-io/hgraph-docs,0,"Official documentation for Hgraph SDKs, APIs and other services and information.",2025-06-24,https://github.com/hgraph-io/hgraph-docs/commit/ce4733293e87afabfa08a824bf76664337c73c17,,,2024-10-10,https://github.com/hgraph-io/hgraph-docs/commit/56c639b160ece5038b8e2eee3cde8134051355af,3,https://github.com/hgraph-io/hgraph-docs/graphs/contributors,,,,,,,,,,,,
I am only a test,,https://hedera.foundation,,,,,,,,,,very short description,,,,,,,,,,,,LF Decentralized Trust CSPs,Test Placeholder,,,,,,,,,,,,,,,,,,,,,,,,
